time,received_bytes
Sat Aug 12 2023 13:03:00 GMT+0900 (한국 표준시),1644749.05
Sat Aug 12 2023 13:04:00 GMT+0900 (한국 표준시),6246134.783333333
Sat Aug 12 2023 13:05:00 GMT+0900 (한국 표준시),8237433.7
Sat Aug 12 2023 13:06:00 GMT+0900 (한국 표준시),8200000.133333334
Sat Aug 12 2023 13:07:00 GMT+0900 (한국 표준시),8095687.183333334
Sat Aug 12 2023 13:08:00 GMT+0900 (한국 표준시),8227942.85
Sat Aug 12 2023 13:09:00 GMT+0900 (한국 표준시),8081506.65
Sat Aug 12 2023 13:10:00 GMT+0900 (한국 표준시),7847735.033333333
Sat Aug 12 2023 13:11:00 GMT+0900 (한국 표준시),7912560.3
Sat Aug 12 2023 13:12:00 GMT+0900 (한국 표준시),7915730.3
Sat Aug 12 2023 13:13:00 GMT+0900 (한국 표준시),7693501.2
Sat Aug 12 2023 13:14:00 GMT+0900 (한국 표준시),7880736.85
Sat Aug 12 2023 13:15:00 GMT+0900 (한국 표준시),7817410.616666666
Sat Aug 12 2023 13:16:00 GMT+0900 (한국 표준시),7905812.533333333
Sat Aug 12 2023 13:17:00 GMT+0900 (한국 표준시),8217089.666666667
Sat Aug 12 2023 13:18:00 GMT+0900 (한국 표준시),8105439.583333333
Sat Aug 12 2023 13:19:00 GMT+0900 (한국 표준시),7875045.416666667
Sat Aug 12 2023 13:20:00 GMT+0900 (한국 표준시),7885437.883333334
Sat Aug 12 2023 13:21:00 GMT+0900 (한국 표준시),8021448.35
Sat Aug 12 2023 13:22:00 GMT+0900 (한국 표준시),8607338.583333334
Sat Aug 12 2023 13:23:00 GMT+0900 (한국 표준시),10351027.033333333
