time,cpu_utilization
Sat Aug 12 2023 13:03:00 GMT+0900 (한국 표준시),0.031214894497893778
Sat Aug 12 2023 13:04:00 GMT+0900 (한국 표준시),0.1901604298773129
Sat Aug 12 2023 13:05:00 GMT+0900 (한국 표준시),0.18255684265517913
Sat Aug 12 2023 13:06:00 GMT+0900 (한국 표준시),0.0667743498531362
Sat Aug 12 2023 13:07:00 GMT+0900 (한국 표준시),0.06863433601177474
Sat Aug 12 2023 13:08:00 GMT+0900 (한국 표준시),0.06875078780383988
Sat Aug 12 2023 13:09:00 GMT+0900 (한국 표준시),0.070671804236461
Sat Aug 12 2023 13:10:00 GMT+0900 (한국 표준시),0.0715340495425135
Sat Aug 12 2023 13:11:00 GMT+0900 (한국 표준시),0.07283615339821314
Sat Aug 12 2023 13:12:00 GMT+0900 (한국 표준시),0.0740193272213504
Sat Aug 12 2023 13:13:00 GMT+0900 (한국 표준시),0.0735351875108095
Sat Aug 12 2023 13:14:00 GMT+0900 (한국 표준시),0.07406205408095083
Sat Aug 12 2023 13:15:00 GMT+0900 (한국 표준시),0.07445114930458514
Sat Aug 12 2023 13:16:00 GMT+0900 (한국 표준시),0.07417738481747745
Sat Aug 12 2023 13:17:00 GMT+0900 (한국 표준시),0.07486788177738359
Sat Aug 12 2023 13:18:00 GMT+0900 (한국 표준시),0.0746518873391181
Sat Aug 12 2023 13:19:00 GMT+0900 (한국 표준시),0.07565330649090089
Sat Aug 12 2023 13:20:00 GMT+0900 (한국 표준시),0.07560148914645634
Sat Aug 12 2023 13:21:00 GMT+0900 (한국 표준시),0.07418737378671614
Sat Aug 12 2023 13:22:00 GMT+0900 (한국 표준시),0.07005857102318687
Sat Aug 12 2023 13:23:00 GMT+0900 (한국 표준시),0.03271059733153522
